CALL_NO,ENTRY_DATE,TIME_PERIOD,Year,ENTRY_TIME,CLOSE_TIME,PRIORITY,CALL_TYPE,1ST_UNIT,DISP,LOCATION,FULL_ADDRESS_CLEAN,Lat,Long,Accuracy Score
160860691,3/26/16,3,2016,7:08:22 AM,7:37:55 AM,C,915,3J90A,CIT,500 BLK EDDY ST,"500 EDDY ST, SAN FRANCISCO, CA",37.783365,-122.415883,1
160861028,3/26/16,3,2016,9:40:18 AM,9:47:31 AM,C,915,3G68,CIT,4112 GEARY BL,"4112 GEARY BL, SAN FRANCISCO, CA",37.781364,-122.463513,1
160862633,3/26/16,3,2016,5:03:21 PM,6:39:52 PM,C,915,3J11D,CIT,87 MCALLISTER ST,"87 MCALLISTER ST, SAN FRANCISCO, CA",37.78077,-122.413363,1
160860617,3/26/16,3,2016,6:14:48 AM,7:08:11 AM,C,915,3J90A,CIT,FULTON ST/HYDE ST,"FULTON ST AND HYDE ST, SAN FRANCISCO, CA",37.779789,-122.415127,1
160860608,3/26/16,3,2016,6:03:41 AM,6:10:07 AM,C,915,3J90A,CIT,1182 MARKET ST,"1182 MARKET ST, SAN FRANCISCO, CA",37.779332,-122.414653,1
160860614,3/26/16,3,2016,6:10:19 AM,6:14:37 AM,C,915,3J90A,CIT,100 BLK LARKIN ST,"100 LARKIN ST, SAN FRANCISCO, CA",37.779159,-122.415808,1
160860543,3/26/16,3,2016,5:00:28 AM,8:45:55 AM,C,915,3J90A,CIT,1266 MARKET ST,"1266 MARKET ST, SAN FRANCISCO, CA",37.778302,-122.416056,1
160864107,3/26/16,3,2016,11:58:53 PM,12:13:53 AM,C,915,3C13E,CIT,3RD ST/WALLACE AV,"3RD ST AND WALLACE AV, SAN FRANCISCO, CA",37.72849,-122.392899,1
160852261,3/25/16,3,2016,2:53:02 PM,3:00:46 PM,C,915,3J12A,CIT,357 ELLIS ST,"357 ELLIS ST, SAN FRANCISCO, CA",37.784676,-122.412045,1
160851717,3/25/16,3,2016,12:32:26 PM,1:42:12 PM,C,915,3J90A,CIT,101 EDDY ST,"101 EDDY ST, SAN FRANCISCO, CA",37.784029,-122.409608,1
160850508,3/25/16,3,2016,5:58:04 AM,9:47:45 AM,C,915,3E70A,ARR,601 VAN NESS AV,"601 VAN NESS AV, SAN FRANCISCO, CA",37.781386,-122.421406,1
160850500,3/25/16,3,2016,5:51:44 AM,6:03:40 AM,C,915,3J90A,CIT,96 MCALLISTER ST,"96 MCALLISTER ST, SAN FRANCISCO, CA",37.78117,-122.413489,1
160850510,3/25/16,3,2016,6:03:50 AM,6:09:28 AM,C,915,3J90A,CIT,30 GROVE ST,"30 GROVE ST, SAN FRANCISCO, CA",37.779159,-122.415808,1
160851978,3/25/16,3,2016,1:44:36 PM,2:02:42 PM,C,915,3H67,CIT,3391 MISSION ST,"3391 MISSION ST, SAN FRANCISCO, CA",37.742276,-122.421744,1
160842242,3/24/16,3,2016,2:14:12 PM,2:21:38 PM,C,915,3J90A,CIT,600 BLK LARKIN ST,"600 LARKIN ST, SAN FRANCISCO, CA",37.783662,-122.416996,1
160840949,3/24/16,3,2016,9:00:53 AM,10:18:01 AM,C,915,3J90A,CIT,500 BLK EDDY ST,"500 EDDY ST, SAN FRANCISCO, CA",37.783365,-122.415883,1
160840461,3/24/16,3,2016,6:04:16 AM,6:15:27 AM,C,915,3J90A,CIT,1182 MARKET ST,"1182 MARKET ST, SAN FRANCISCO, CA",37.779332,-122.414653,1
160840486,3/24/16,3,2016,6:24:29 AM,6:33:35 AM,C,915,3J90A,CIT,30 GROVE ST,"30 GROVE ST, SAN FRANCISCO, CA",37.779159,-122.415808,1
160840470,3/24/16,3,2016,6:15:38 AM,6:22:52 AM,C,915,3J90A,CIT,1-99 LARKIN ST,"99 LARKIN ST, SAN FRANCISCO, CA",37.778636,-122.416691,1
160843218,3/24/16,3,2016,5:47:11 PM,6:44:44 PM,C,915,3B45,CIT,MINNA ST/8TH ST,"MINNA ST AND 8TH ST, SAN FRANCISCO, CA",37.777026,-122.412617,1
160842433,3/24/16,3,2016,3:02:35 PM,5:33:09 PM,C,915,3B12D,ARR,BESSIE CARMICHAEL MS,"BESSIE CARMICHAEL MS, SAN FRANCISCO, CA",37.7749295,-122.4194155,1
160840565,3/24/16,3,2016,7:12:50 AM,7:19:52 AM,C,915,3I71,CIT,9TH AV/IRVING ST,"9TH AV AND IRVING ST, SAN FRANCISCO, CA",37.764036,-122.46631,1
160830654,3/23/16,3,2016,7:40:45 AM,8:34:37 AM,C,915,3E13A,ARR,1751 SACRAMENTO ST,"1751 SACRAMENTO ST, SAN FRANCISCO, CA",37.791222,-122.421859,1
160830663,3/23/16,3,2016,7:43:19 AM,8:56:06 AM,C,915,3E17A,CIT,1855 SACRAMENTO ST,"1855 SACRAMENTO ST, SAN FRANCISCO, CA",37.790911,-122.423374,1
160830617,3/23/16,3,2016,7:30:22 AM,8:13:26 AM,C,915,3A70A,CIT,445 GEARY ST,"445 GEARY ST, SAN FRANCISCO, CA",37.786773,-122.410581,1
160830443,3/23/16,3,2016,6:02:27 AM,6:05:33 AM,C,915,3J72,CIT,MARKET ST/4TH ST,"MARKET ST AND 4TH ST, SAN FRANCISCO, CA",37.785725,-122.405807,1
160830124,3/23/16,3,2016,1:10:35 AM,5:38:55 AM,C,915,3J72,CIT,301 ELLIS ST,"301 ELLIS ST, SAN FRANCISCO, CA",37.784754,-122.411436,1
160830438,3/23/16,3,2016,5:53:11 AM,5:58:38 AM,C,915,3J72,CIT,979 MARKET ST,"979 MARKET ST, SAN FRANCISCO, CA",37.782281,-122.409531,1
160830500,3/23/16,3,2016,6:36:28 AM,6:50:12 AM,C,915,3J72,CIT,MARKET ST/8TH ST,"MARKET ST AND 8TH ST, SAN FRANCISCO, CA",37.778718,-122.41474,1
160830826,3/23/16,3,2016,8:32:37 AM,8:49:04 AM,C,915,3F13A,CIT,1750 FULTON ST,"1750 FULTON ST, SAN FRANCISCO, CA",37.776159,-122.445779,1
160830795,3/23/16,3,2016,8:23:38 AM,8:55:56 AM,C,915,3F13A,CIT,FULTON ST/MASONIC AV,"FULTON ST AND MASONIC AV, SAN FRANCISCO, CA",37.775801,-122.446471,1
160833269,3/23/16,3,2016,6:15:19 PM,6:49:19 PM,C,915,3B45,CIT,11TH ST/HARRISON ST,"11TH ST AND HARRISON ST, SAN FRANCISCO, CA",37.77063,-122.41248,1
160830659,3/23/16,3,2016,7:42:21 AM,5:02:44 PM,C,915,3B45,CIT,HARRISON ST/11TH ST,"HARRISON ST AND 11TH ST, SAN FRANCISCO, CA",37.77063,-122.41248,1
160833250,3/23/16,3,2016,6:13:00 PM,6:50:50 PM,C,915,3B45,CIT,HARRISON ST/NORFOLK ST,"HARRISON ST AND NORFOLK ST, SAN FRANCISCO, CA",37.770389,-122.412751,1
160833280,3/23/16,3,2016,6:16:32 PM,7:05:19 PM,C,915,3B45,CIT,396 12TH ST,"396 12TH ST, SAN FRANCISCO, CA",37.769983,-122.41342,1
160820263,3/22/16,3,2016,3:08:29 AM,3:26:41 AM,C,915,3A15E,CIT,353 SACRAMENTO ST,"353 SACRAMENTO ST, SAN FRANCISCO, CA",37.793901,-122.399717,1
160820716,3/22/16,3,2016,8:29:36 AM,8:44:37 AM,C,915,3J72,CIT,357 ELLIS ST,"357 ELLIS ST, SAN FRANCISCO, CA",37.784676,-122.412045,1
160820803,3/22/16,3,2016,8:48:57 AM,9:15:50 AM,C,915,3J72,CIT,698 LARKIN ST,"698 LARKIN ST, SAN FRANCISCO, CA",37.784259,-122.41754,1
160820371,3/22/16,3,2016,5:27:16 AM,5:31:45 AM,C,915,3J72,CIT,366 EDDY ST,"366 EDDY ST, SAN FRANCISCO, CA",37.784054,-122.413943,1
160820779,3/22/16,3,2016,8:44:45 AM,8:48:53 AM,C,915,3J72,CIT,550 EDDY ST,"550 EDDY ST, SAN FRANCISCO, CA",37.783559,-122.41657,1
160820380,3/22/16,3,2016,5:35:43 AM,5:39:23 AM,C,915,3J72,CIT,TURK ST/HYDE ST,"TURK ST AND HYDE ST, SAN FRANCISCO, CA",37.782584,-122.415694,1
160820366,3/22/16,3,2016,5:23:16 AM,5:25:19 AM,C,915,3J72,CIT,96 MCALLISTER ST,"96 MCALLISTER ST, SAN FRANCISCO, CA",37.78117,-122.413489,1
160821254,3/22/16,3,2016,10:43:50 AM,11:17:03 AM,C,915,4X21,CIT,WARM WATER COVE PARK,"WARM WATER COVE PARK, SAN FRANCISCO, CA",37.776646,-122.417481,1
160820540,3/22/16,3,2016,7:23:51 AM,7:47:38 AM,C,915,3J72,CIT,11TH ST/MISSION ST,"11TH ST AND MISSION ST, SAN FRANCISCO, CA",37.774325,-122.417104,1
160820659,3/22/16,3,2016,8:09:09 AM,8:33:10 AM,C,915,3B70,CIT,DORE ST/FOLSOM ST,"DORE ST AND FOLSOM ST, SAN FRANCISCO, CA",37.773285,-122.412225,1
160822374,3/22/16,3,2016,3:23:05 PM,5:00:31 AM,B,915,3B13D,ARR,979 BRYANT ST,"979 BRYANT ST, SAN FRANCISCO, CA",37.772795,-122.406273,1
160822215,3/22/16,3,2016,2:45:46 PM,3:00:04 PM,C,919,3F43B,CIT,1428 HAIGHT ST,"1428 HAIGHT ST, SAN FRANCISCO, CA",37.770366,-122.445966,1
160820983,3/22/16,3,2016,9:35:33 AM,9:40:56 AM,C,915,3F4A,CIT,HERMANN ST/STEINER ST,"HERMANN ST AND STEINER ST, SAN FRANCISCO, CA",37.7700469,-122.4316868,1
160822119,3/22/16,3,2016,2:19:57 PM,2:28:23 PM,C,915,3C75,CIT,1650 LA SALLE AV,"1650 LA SALLE AV, SAN FRANCISCO, CA",37.737265,-122.389486,1
160813997,3/21/16,3,2016,10:57:19 PM,12:24:41 AM,C,915,3A13E,CIT,BAY ST/MASON ST,"BAY ST AND MASON ST, SAN FRANCISCO, CA",37.805617,-122.413603,1
160810960,3/21/16,3,2016,9:27:03 AM,10:11:20 AM,C,915,3E16A,ARR,1771 WASHINGTON ST,"1771 WASHINGTON ST, SAN FRANCISCO, CA",37.793006,-122.422159,1
160810974,3/21/16,3,2016,9:33:06 AM,1:26:56 PM,C,915,3E16A,ARR,1660 VAN NESS AV,"1660 VAN NESS AV, SAN FRANCISCO, CA",37.791173,-122.422209,1
160811977,3/21/16,3,2016,1:58:20 PM,3:30:23 PM,C,915,3E13C,CIT,FERN ST/POLK ST,"FERN ST AND POLK ST, SAN FRANCISCO, CA",37.788222,-122.42021,1
160811441,3/21/16,3,2016,11:38:45 AM,12:35:59 PM,C,919,3E13A,CIT,FERN ST/POLK ST,"FERN ST AND POLK ST, SAN FRANCISCO, CA",37.788222,-122.42021,1
160810549,3/21/16,3,2016,7:10:06 AM,7:12:14 AM,C,915,3J72,CIT,550 EDDY ST,"550 EDDY ST, SAN FRANCISCO, CA",37.783559,-122.41657,1
160810790,3/21/16,3,2016,8:42:55 AM,10:01:23 AM,C,919,3B70,CIT,30 DORE ST,"30 DORE ST, SAN FRANCISCO, CA",37.773974,-122.413394,1
160810568,3/21/16,3,2016,7:21:46 AM,7:32:47 AM,C,915,3F4A,CIT,1833 PAGE ST,"1833 PAGE ST, SAN FRANCISCO, CA",37.770136,-122.451001,1
160810625,3/21/16,3,2016,7:43:22 AM,7:54:11 AM,C,915,3F4A,CIT,903 14TH ST,"903 14TH ST, SAN FRANCISCO, CA",37.767244,-122.433819,1
160811414,3/21/16,3,2016,11:32:37 AM,2:13:12 PM,C,915,3D70,CIT,1656 15TH ST,"1656 15TH ST, SAN FRANCISCO, CA",37.766806,-122.421267,1
160811476,3/21/16,3,2016,11:47:51 AM,1:58:07 PM,C,915,3B70,CIT,OWENS ST/MISSION BAY SOUTH BL,"OWENS ST AND MISSION BAY SOUTH BL, SAN FRANCISCO, CA",37.7667484,-122.3927176,1
160810822,3/21/16,3,2016,8:50:33 AM,2:52:27 PM,C,919,3D70,CIT,15TH ST/CALEDONIA ST,"15TH ST AND CALEDONIA ST, SAN FRANCISCO, CA",37.766571,-122.421531,1
160811603,3/21/16,3,2016,12:20:10 PM,2:45:43 PM,C,915,3D44C,ARR,2884 24TH ST,"2884 24TH ST, SAN FRANCISCO, CA",37.752978,-122.409942,1
160810584,3/21/16,3,2016,7:26:44 AM,7:46:59 AM,C,919,3F4A,CIT,2342 33RD AV,"2342 33RD AV, SAN FRANCISCO, CA",37.743442,-122.490436,1
160802811,3/20/16,3,2016,6:13:04 PM,6:47:01 PM,C,919,9X17A,CIT,205 JEFFERSON ST,"205 JEFFERSON ST, SAN FRANCISCO, CA",37.808058,-122.415832,1
160800790,3/20/16,3,2016,7:32:19 AM,7:39:50 AM,C,915,3J72,CIT,800 MARKET ST,"800 MARKET ST, SAN FRANCISCO, CA",37.78547,-122.406616,1
160802607,3/20/16,3,2016,5:23:23 PM,5:41:57 PM,A,915,3B3C,CIT,SOUTH VAN NESS AV/MISSION ST,"SOUTH VAN NESS AV AND MISSION ST, SAN FRANCISCO, CA",37.773474,-122.41803,0.93
160802073,3/20/16,3,2016,2:53:00 PM,11:07:18 AM,C,915,3D70,CIT,1960 FOLSOM ST,"1960 FOLSOM ST, SAN FRANCISCO, CA",37.765888,-122.415931,1
160803611,3/20/16,3,2016,10:36:02 PM,2:59:59 AM,C,915,3D11E,CIT,569 VALENCIA ST,"569 VALENCIA ST, SAN FRANCISCO, CA",37.763818,-122.421486,1
160801530,3/20/16,3,2016,12:07:21 PM,12:13:43 PM,C,915,3D11C,CIT,411 CASTRO ST,"411 CASTRO ST, SAN FRANCISCO, CA",37.762273,-122.434947,1
160791644,3/19/16,3,2016,12:16:59 PM,12:28:02 PM,C,915,3A70A,CIT,HYDE ST/CALIFORNIA ST,"HYDE ST AND CALIFORNIA ST, SAN FRANCISCO, CA",37.7910477,-122.4174239,0.8
160790608,3/19/16,3,2016,6:06:48 AM,6:14:28 AM,C,915,3J72,CIT,301 ELLIS ST,"301 ELLIS ST, SAN FRANCISCO, CA",37.784754,-122.411436,1
160790626,3/19/16,3,2016,6:14:43 AM,6:18:33 AM,C,915,3J72,CIT,360 HYDE ST,"360 HYDE ST, SAN FRANCISCO, CA",37.784265,-122.415813,1
160790659,3/19/16,3,2016,6:30:25 AM,6:33:02 AM,C,915,3J72,CIT,366 EDDY ST,"366 EDDY ST, SAN FRANCISCO, CA",37.784054,-122.413943,1
160790652,3/19/16,3,2016,6:26:13 AM,6:30:10 AM,C,915,3J72,CIT,390 EDDY ST,"390 EDDY ST, SAN FRANCISCO, CA",37.783889,-122.413931,1
160790632,3/19/16,3,2016,6:19:49 AM,6:22:59 AM,C,915,3J72,CIT,476 EDDY ST,"476 EDDY ST, SAN FRANCISCO, CA",37.783824,-122.415504,1
160790647,3/19/16,3,2016,6:23:22 AM,6:26:00 AM,C,915,3J72,CIT,253 LEAVENWORTH ST,"253 LEAVENWORTH ST, SAN FRANCISCO, CA",37.783482,-122.41446,1
160790668,3/19/16,3,2016,6:36:34 AM,6:41:44 AM,C,915,3J72,CIT,945 MARKET ST,"945 MARKET ST, SAN FRANCISCO, CA",37.782887,-122.408778,1
160790709,3/19/16,3,2016,7:00:32 AM,7:07:34 AM,C,915,3J72,CIT,1182 MARKET ST,"1182 MARKET ST, SAN FRANCISCO, CA",37.779332,-122.414653,1
160790725,3/19/16,3,2016,7:08:25 AM,7:23:34 AM,C,915,3J72,CIT,25 LARKIN ST,"25 LARKIN ST, SAN FRANCISCO, CA",37.77793,-122.416584,1
160792499,3/19/16,3,2016,3:59:51 PM,4:50:47 PM,C,915,3F13D,CIT,CHURCH ST/DUBOCE AV,"CHURCH ST AND DUBOCE AV, SAN FRANCISCO, CA",37.7692029,-122.4289847,1
160793715,3/19/16,3,2016,8:43:28 PM,9:03:33 PM,B,915,3B12D,CIT,DE HARO ST/BERRY ST,"DE HARO ST AND BERRY ST, SAN FRANCISCO, CA",37.7689794,-122.4019819,1
160791569,3/19/16,3,2016,11:53:49 AM,1:16:34 PM,C,915,3D11C,CIT,8 LANDERS ST,"8 LANDERS ST, SAN FRANCISCO, CA",37.767556,-122.427973,1
160791139,3/19/16,3,2016,9:49:27 AM,12:40:57 PM,C,915,3B70,CIT,OWENS ST/MISSION BAY SOUTH BL,"OWENS ST AND MISSION BAY SOUTH BL, SAN FRANCISCO, CA",37.7667484,-122.3927176,1
160790794,3/19/16,3,2016,7:40:27 AM,7:43:08 AM,C,915,3I71,CIT,20TH AV/JUDAH ST,"20TH AV AND JUDAH ST, SAN FRANCISCO, CA",37.761652,-122.478062,1
160781152,3/18/16,3,2016,9:42:43 AM,9:50:23 AM,C,915,3A44B,CIT,1135 STOCKTON ST,"1135 STOCKTON ST, SAN FRANCISCO, CA",37.796244,-122.408729,1
160780774,3/18/16,3,2016,8:03:06 AM,9:08:01 AM,C,915,3J90A,CIT,400 BLK LEAVENWORTH ST,"400 LEAVENWORTH ST, SAN FRANCISCO, CA",37.784506,-122.41443,1
160781397,3/18/16,3,2016,10:50:59 AM,11:02:31 AM,C,915,3J90A,CIT,600 BLK LARKIN ST,"600 LARKIN ST, SAN FRANCISCO, CA",37.783662,-122.416996,1
160780562,3/18/16,3,2016,6:01:16 AM,7:09:10 AM,C,915,3J90A,CIT,FULTON ST/HYDE ST,"FULTON ST AND HYDE ST, SAN FRANCISCO, CA",37.779789,-122.415127,1
160780543,3/18/16,3,2016,5:35:15 AM,5:40:20 AM,C,915,3J90A,CIT,1182 MARKET ST,"1182 MARKET ST, SAN FRANCISCO, CA",37.779332,-122.414653,1
160780549,3/18/16,3,2016,5:45:31 AM,6:00:45 AM,C,915,3J90A,CIT,30 GROVE ST,"30 GROVE ST, SAN FRANCISCO, CA",37.779159,-122.415808,1
160780546,3/18/16,3,2016,5:40:27 AM,5:45:23 AM,C,915,3J90A,CIT,0 BLK LARKIN ST,"10 LARKIN ST, SAN FRANCISCO, CA",37.777823,-122.416264,1
160780971,3/18/16,3,2016,8:56:10 AM,1:23:37 PM,C,915,3D11C,CIT,HARVEY MILK PZ,"HARVEY MILK PZ, SAN FRANCISCO, CA",37.776646,-122.417481,1
160781285,3/18/16,3,2016,10:17:33 AM,10:38:19 AM,C,915,3X70,CIT,345 DIVISION ST,"345 DIVISION ST, SAN FRANCISCO, CA",37.768933,-122.4103,1
160780171,3/18/16,3,2016,1:16:59 AM,10:03:58 AM,C,915,3D14A,CIT,1 JOSE SARRIA CT,"1 JOSE SARRIA CT, SAN FRANCISCO, CA",37.764113,-122.431959,1
160781133,3/18/16,3,2016,9:37:45 AM,11:54:24 AM,C,919,3D11C,CIT,3968 18TH ST,"3968 18TH ST, SAN FRANCISCO, CA",37.76131,-122.432076,1
160770913,3/17/16,3,2016,9:06:09 AM,9:22:36 AM,C,915,3A70A,CIT,838 SANSOME ST,"838 SANSOME ST, SAN FRANCISCO, CA",37.79809,-122.401731,1
160770633,3/17/16,3,2016,7:46:06 AM,8:19:44 AM,C,915,3A70A,CIT,406 MONTGOMERY ST,"406 MONTGOMERY ST, SAN FRANCISCO, CA",37.7931109,-122.4028519,0.8
160770973,3/17/16,3,2016,9:18:22 AM,9:53:35 AM,C,915,3A70A,CIT,572 MARKET ST,"572 MARKET ST, SAN FRANCISCO, CA",37.789798,-122.401339,1
160773720,3/17/16,3,2016,8:08:21 PM,8:31:44 PM,C,915,3E1C,CIT,PINE ST/VAN NESS AV,"PINE ST AND VAN NESS AV, SAN FRANCISCO, CA",37.789412,-122.422135,1
160770581,3/17/16,3,2016,7:17:58 AM,8:02:41 AM,C,915,3E70A,CIT,LAGUNA ST/SUTTER ST,"LAGUNA ST AND SUTTER ST, SAN FRANCISCO, CA",37.786246,-122.428241,0.95
160770561,3/17/16,3,2016,7:07:53 AM,7:14:46 AM,C,915,3J90A,CIT,600 LARKIN ST,"600 LARKIN ST, SAN FRANCISCO, CA",37.783662,-122.416996,1
160770435,3/17/16,3,2016,5:36:26 AM,5:43:30 AM,C,915,3J90A,CIT,210 JONES ST,"210 JONES ST, SAN FRANCISCO, CA",37.783236,-122.412214,1
160771263,3/17/16,3,2016,10:29:03 AM,11:17:45 AM,C,915,3J90A,CIT,TURK ST/HYDE ST,"TURK ST AND HYDE ST, SAN FRANCISCO, CA",37.782584,-122.415694,1
160770401,3/17/16,3,2016,4:48:17 AM,4:52:37 AM,C,915,3J15E,CIT,HYDE ST/GOLDEN GATE AV,"HYDE ST AND GOLDEN GATE AV, SAN FRANCISCO, CA",37.781653,-122.415505,1
160770463,3/17/16,3,2016,6:16:38 AM,6:32:58 AM,C,915,3J90A,CIT,FULTON ST/HYDE ST,"FULTON ST AND HYDE ST, SAN FRANCISCO, CA",37.779789,-122.415127,1
160770439,3/17/16,3,2016,5:44:11 AM,5:59:44 AM,C,915,3J90A,CIT,1182 MARKET ST,"1182 MARKET ST, SAN FRANCISCO, CA",37.779332,-122.414653,1
160770453,3/17/16,3,2016,6:04:29 AM,6:16:23 AM,C,915,3J90A,CIT,30 GROVE ST,"30 GROVE ST, SAN FRANCISCO, CA",37.779159,-122.415808,1
160770449,3/17/16,3,2016,5:59:58 AM,6:04:18 AM,C,915,3J90A,CIT,99 GROVE ST,"99 GROVE ST, SAN FRANCISCO, CA",37.778083,-122.417316,1
160771465,3/17/16,3,2016,11:18:23 AM,12:57:52 PM,C,915,3J90A,CIT,0 BLK LARKIN ST,"10 LARKIN ST, SAN FRANCISCO, CA",37.777823,-122.416264,1
