CaseID,Opened,Year,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Lat,Long,Point,count,mod
4733184,5/10/15 13:14,2015,5/11/15 13:24,5/11/15 13:24,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of HESTER AVE and LOIS LN,10,Little Hollywood,37.71331592,-122.3976578,"(37.7133159192972, -122.397657779828)",50,0
4423218,1/23/15 21:26,2015,1/29/15 10:24,1/29/15 10:24,Closed,Case Completed - resolved: Removed homeless debris.,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of ROLPH ST and NAPLES ST,11,Crocker Amazon,37.71354971,-122.436642,"(37.7135497050559, -122.436641988877)",52,0
1947028,1/28/13 14:10,2013,1/30/13 7:14,1/30/13 7:14,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of CHESTER AVE and RANDOLPH ST,11,Merced Heights,37.71427736,-122.4704638,"(37.7142773566749, -122.470463784106)",54,0
5250436,11/3/15 12:45,2015,11/14/15 10:41,11/14/15 10:41,Closed,Case Completed - resolved: Completed by zone personnel.,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of RANDOLPH ST and BYXBEE ST,11,Merced Heights,37.71428162,-122.4697983,"(37.7142816210113, -122.469798253021)",56,0
3121713,12/2/13 11:08,2013,12/11/13 15:04,12/11/13 15:04,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"126 RANDOLPH ST, SAN FRANCISCO, CA, 94132",11,Merced Heights,37.71442084,-122.4639862,"(37.714420840264, -122.463986210953)",58,0
3212097,12/29/13 12:23,2013,1/2/14 14:10,1/2/14 14:10,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"126 RANDOLPH ST, SAN FRANCISCO, CA, 94132",11,Merced Heights,37.71442084,-122.4639862,"(37.714420840264, -122.463986210953)",60,0
5323393,11/27/15 9:53,2015,11/29/15 9:58,11/29/15 9:58,Closed,Case Completed - resolved: BOX FOR ZONE SUP,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of BROTHERHOOD WAY and LAKE MERCED BLVD,7,Parkmerced,37.71469447,-122.4852291,"(37.7146944670787, -122.485229080439)",62,0
1880464,1/10/13 17:34,2013,1/12/13 22:17,1/12/13 22:17,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of LOBOS ST and PLYMOUTH AVE,11,Oceanview,37.71490456,-122.456072,"(37.7149045593435, -122.456071969218)",64,0
4880540,7/4/15 12:37,2015,7/22/15 10:22,7/22/15 10:22,Closed,Case Completed - resolved: Completed by zone personnel.,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"715 AMAZON AVE, SAN FRANCISCO, CA, 94112",11,Excelsior,37.71503285,-122.4341088,"(37.715032852382, -122.434108752731)",66,0
2053483,2/24/13 10:33,2013,3/25/13 11:31,3/25/13 11:31,Closed,Case Resolved - Park Patrol has been called several times. Park Patrol removed illegal campers twice. They have not returned.,RPD Park Patrol Queue,Rec and Park Requests,Park - Park_Patrol,Illegal_Encampment,"Bay View Park, SAN FRANCISCO, CA, 94124",10,Candlestick Point SRA,37.71513234,-122.3922704,"(37.715132344, -122.3922704)",68,0
5194871,10/16/15 11:13,2015,10/16/15 12:22,10/16/15 12:22,Closed,Case Completed - resolved: ADVISED SFPD,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"300 BAY SHORE BLVD, SAN FRANCISCO, CA, 94124",10,Visitacion Valley,37.71532464,-122.3991128,"(37.715324635784, -122.399112753667)",70,0
5219188,10/23/15 16:10,2015,10/24/15 18:30,10/24/15 18:30,Closed,Case Completed - resolved: 10/98,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of PARIS ST and GENEVA AVE,11,Excelsior,37.71567242,-122.4394384,"(37.7156724152037, -122.439438395667)",72,0
2648738,7/27/13 17:36,2013,7/28/13 9:11,7/28/13 9:11,Closed,Case Resolved - Park Patrol Supervisor and PSA manager have both been advised.,RPD Park Patrol Queue,Rec and Park Requests,Park - Park_Patrol,Illegal_Encampment,"Ocean View Playground, SAN FRANCISCO, CA, 94112",11,Oceanview,37.71577024,-122.4575706,"(37.715770242, -122.4575706)",74,0
2074896,3/1/13 11:33,2013,3/2/13 8:49,3/2/13 8:49,Closed,Case Resolved - PSA manager has also been advised.  Park Patrol supv has been advised of this.,RPD Park Patrol Queue,Rec and Park Requests,Park - Park_Patrol,Illegal_Encampment,"Ocean View Playground, SAN FRANCISCO, CA, 94112",11,Oceanview,37.71577024,-122.4575706,"(37.715770242, -122.4575706)",76,0
5060962,9/2/15 16:52,2015,9/3/15 8:14,9/3/15 8:14,Closed,Case Completed - resolved: done,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"2245 GENEVA AVE, SAN FRANCISCO, CA, 94134",11,Crocker Amazon,37.71625747,-122.4409731,"(37.716257468872, -122.440973053694)",78,0
5769661,4/16/16 14:07,2016,4/16/16 15:51,4/16/16 15:51,Closed,Case Resolved -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of LONDON ST and AMAZON AVE,11,Excelsior,37.71695851,-122.4396404,"(37.7169585104913, -122.439640356443)",80,0
5681419,3/19/16 15:53,2016,3/20/16 9:11,3/20/16 9:11,Closed,Case Resolved - done,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"39 AMAZON AVE, SAN FRANCISCO, CA, 94112",11,Excelsior,37.71709312,-122.4397154,"(37.717093124055, -122.439715407341)",82,0
3755097,6/19/14 10:16,2014,6/19/14 12:12,6/19/14 12:12,Closed,Case Completed - resolved: PRIVATE PROPERTY                                  PROPERTY OF HOMELESS,Recology_Abandoned,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1655 MISSION ST, SAN FRANCISCO, CA, 94103",11,Excelsior,37.7173065,-122.4402797,"(37.717306495722, -122.44027974226)",84,0
4833068,6/16/15 19:36,2015,6/18/15 1:15,6/18/15 1:15,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of SAN BRUNO AVE and HARKNESS AVE,10,Portola,37.71790627,-122.4001316,"(37.7179062659508, -122.40013160178)",86,0
2518514,6/21/13 18:48,2013,8/7/13 15:41,8/7/13 15:41,Closed,Case Resolved - Park mgmt.:  To the best of our knowledge this has been resolved.,RPD Park Service Area 3 Queue,Rec and Park Requests,Park - Park_Patrol,Illegal_Encampment,"John McLaren Park, SAN FRANCISCO, CA, 94134",10,McLaren Park,37.71808433,-122.4190726,"(37.718084329, -122.4190726)",88,0
4776565,5/26/15 13:28,2015,5/26/15 15:33,5/26/15 15:33,Closed,Case Resolved - Park Ranger Supervisor has been notified.,RPD NSA Queue,Rec and Park Requests,Park - Park_Patrol,Illegal_Encampment,"John McLaren Park, , SAN FRANCISCO, CA, 94134",10,McLaren Park,37.71808433,-122.4190726,"(37.718084329, -122.4190726)",90,0
5701716,3/26/16 9:02,2016,3/27/16 19:20,3/27/16 19:20,Closed,"Case Resolved - RPD ranger dispatched, checked the area thoroughly and was unable to locate an encampment.",RPD NSA Queue,Rec and Park Requests,Park - Park_Patrol,Illegal_Encampment,"John McLaren Park, , SAN FRANCISCO, CA, 94134",10,McLaren Park,37.71808433,-122.4190726,"(37.718084329, -122.4190726)",92,0
4055073,9/28/14 10:41,2014,11/3/14 15:23,11/3/14 15:23,Closed,Case Resolved - Rubbish has been removed from the area.,RPD Park Service Area 3 Queue,Rec and Park Requests,Park - Park_Patrol,Illegal_Encampment,"John McLaren Park, , SAN FRANCISCO, CA, 94134",10,McLaren Park,37.71808433,-122.4190726,"(37.718084329, -122.4190726)",94,0
3478910,3/22/14 9:30,2014,4/25/14 11:12,4/25/14 11:12,Closed,Case Resolved - Per the PSA manager.,RPD Park Service Area 3 Queue,Rec and Park Requests,Park - Park_Patrol,Illegal_Encampment,"John McLaren Park, , SAN FRANCISCO, CA, 94134",10,McLaren Park,37.71808433,-122.4190726,"(37.718084329, -122.4190726)",96,0
3421843,3/4/14 9:49,2014,3/4/14 10:05,3/4/14 10:05,Closed,Case Resolved - Park Patrol supervisor has been advised.,RPD Park Patrol Queue,Rec and Park Requests,Park - Park_Patrol,Illegal_Encampment,"John McLaren Park, , SAN FRANCISCO, CA, 94134",10,McLaren Park,37.71808433,-122.4190726,"(37.718084329, -122.4190726)",98,0
5239186,10/30/15 12:36,2015,,10/31/15 11:18,Open,Open,RPD Park Service Area 3 Queue,Rec and Park Requests,Park - Park_Patrol,Illegal_Encampment,"John McLaren Park, , SAN FRANCISCO, CA, 94134",10,McLaren Park,37.71808433,-122.4190726,"(37.718084329, -122.4190726)",100,0
3425458,3/5/14 9:25,2014,3/5/14 11:12,3/5/14 11:12,Closed,Case Completed - resolved: Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of SAN JOSE AVE and MOUNT VERNON AVE,11,Oceanview,37.71839554,-122.4486052,"(37.7183955446238, -122.44860519091)",102,0
3234420,1/5/14 8:27,2014,1/7/14 8:05,1/7/14 8:05,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"618 PARIS ST, SAN FRANCISCO, CA, 94112",11,Excelsior,37.7190014,-122.4370826,"(37.719001396104, -122.437082602336)",104,0
5270689,11/10/15 8:48,2015,11/10/15 10:00,11/10/15 10:00,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of JAMESTOWN AVE and 3RD ST,10,Bret Harte,37.72023077,-122.3966171,"(37.720230769986, -122.396617065062)",106,0
5839272,5/6/16 14:00,2016,,5/6/16 14:39,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"2275 SAN JOSE AVE, SAN FRANCISCO, CA, 94112",11,Cayuga,37.72080763,-122.4463282,"(37.720807629458, -122.446328230474)",108,0
4839911,6/19/15 14:19,2015,4/11/16 17:53,4/11/16 17:53,Closed,Case Resolved - sent over via red button,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"230 MANSELL ST, SAN FRANCISCO, CA, 94134",9,Portola,37.72109973,-122.403544,"(37.721099732905, -122.403543963052)",110,0
4103969,10/13/14 15:32,2014,10/14/14 12:27,10/14/14 12:27,Closed,Case Completed - resolved: done,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"45 ONONDAGA AVE, SAN FRANCISCO, CA, 94112",11,Cayuga,37.72133896,-122.4385171,"(37.721338958462, -122.438517059753)",112,0
4735762,5/11/15 12:53,2015,5/12/15 2:00,5/12/15 2:00,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"30 MANSELL ST, SAN FRANCISCO, CA, 94134",9,Portola,37.72156871,-122.4017425,"(37.721568712843, -122.401742512036)",114,0
5369811,12/12/15 19:53,2015,12/12/15 22:24,12/12/15 22:24,Closed,Case Completed - resolved: claimed,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of ALEMANY BLVD and ONONDAGA AVE,11,Cayuga,37.72162637,-122.4386417,"(37.721626366615, -122.438641709785)",116,0
5669590,3/16/16 6:20,2016,3/16/16 9:13,3/16/16 9:13,Closed,Case Resolved - CAD#160760828,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"60 ONONDAGA AVE, SAN FRANCISCO, CA, 94112",11,Cayuga,37.72185003,-122.4389164,"(37.721850028062, -122.438916449461)",118,0
2772607,8/30/13 15:31,2013,8/31/13 6:17,8/31/13 6:17,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"4753 MISSION ST, SAN FRANCISCO, CA, 94112",11,Excelsior,37.72215734,-122.4364998,"(37.722157342546, -122.436499766479)",120,0
5247377,11/2/15 14:16,2015,11/2/15 22:38,11/2/15 22:38,Closed,Case Completed - resolved: done,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1876 ALEMANY BLVD, SAN FRANCISCO, CA, 94112",11,Cayuga,37.72220337,-122.4385006,"(37.722203372944, -122.438500599855)",122,0
5680251,3/19/16 7:00,2016,3/19/16 7:16,3/19/16 7:16,Closed,Case Resolved - Called DPT #402,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"17 EXETER ST, SAN FRANCISCO, CA, 94124",10,,37.72266404,-122.3982011,"(37.722664043, -122.398201121)",124,0
5822991,5/2/16 15:34,2016,5/2/16 18:31,5/2/16 18:31,Closed,Case Resolved -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"863 OCEAN AVE, SAN FRANCISCO, CA, 94112",7,Oceanview,37.72281745,-122.4509996,"(37.722817448381, -122.450999571313)",126,0
5620015,3/1/16 16:52,2016,3/2/16 16:02,3/2/16 16:02,Closed,Case Completed - Case Resolved: TRANS TO CALTRANS,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"863 OCEAN AVE, SAN FRANCISCO, CA, 94112",7,Oceanview,37.72281745,-122.4509996,"(37.722817448381, -122.450999571313)",128,0
5172146,10/8/15 14:46,2015,10/10/15 16:58,10/10/15 16:58,Closed,Case Completed - resolved: 10/98,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of OCEAN AVE and HOWTH ST,7,Oceanview,37.72296142,-122.4495587,"(37.7229614211437, -122.449558686932)",130,0
5752899,4/11/16 17:06,2016,4/11/16 21:00,4/11/16 21:00,Closed,Case Resolved -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of GENEVA AVE and PHELAN AVE,7,Ingleside,37.72308032,-122.4523315,"(37.7230803166757, -122.452331546842)",132,0
5169793,10/8/15 7:26,2015,10/8/15 18:27,10/8/15 18:27,Closed,Case Completed - resolved: 1098,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of OCEAN AVE and GENEVA AVE,7,Ingleside,37.72308032,-122.4523315,"(37.7230803166757, -122.452331546842)",134,0
5338056,12/2/15 13:26,2015,12/3/15 1:55,12/3/15 1:55,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"4680 MISSION ST, SAN FRANCISCO, CA, 94112",11,Cayuga,37.72342876,-122.435933,"(37.723428755585, -122.435933007402)",136,0
5100463,9/15/15 16:29,2015,9/17/15 5:28,9/17/15 5:28,Closed,Case Completed - resolved: 1098,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"196 OCEAN AVE, SAN FRANCISCO, CA, 94112",11,Mission Terrace,37.72347934,-122.4407602,"(37.723479344177, -122.440760238859)",138,0
5752765,4/11/16 16:42,2016,4/11/16 20:12,4/11/16 20:12,Closed,Case Resolved -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of PAUL AVE and BAY SHORE BLVD,10,Portola,37.72361621,-122.4007849,"(37.7236162071968, -122.400784905915)",140,0
5778745,4/19/16 13:41,2016,4/19/16 23:34,4/19/16 23:34,Closed,"Case Resolved - Public Works does not move people, will notify SFPD for assistance.",DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of BAY SHORE BLVD and PAUL AVE,10,Portola,37.72361621,-122.4007849,"(37.7236162071968, -122.400784905915)",142,0
5444220,1/8/16 6:10,2016,1/8/16 9:40,1/8/16 9:40,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of BAY SHORE BLVD and PAUL AVE,10,Portola,37.72361621,-122.4007849,"(37.7236162071968, -122.400784905915)",144,0
5622362,3/2/16 12:12,2016,3/3/16 14:24,3/3/16 14:24,Closed,Case Completed - Case Resolved: SFPD DISPATCHER 176 / CAD# 2286 WAS NOTIFIED. CLOSED.,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"955 SAN BRUNO AVE, SAN FRANCISCO, CA, 94110",10,Potrero Hill,37.72366123,-122.4018997,"(37.723661229081, -122.401899717052)",146,0
5252653,11/4/15 6:11,2015,11/4/15 7:35,11/4/15 7:35,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"635 PAUL AVE, SAN FRANCISCO, CA, 94124",10,Bayview,37.72368196,-122.3991519,"(37.723681956777, -122.399151888221)",148,0
5275432,11/11/15 13:24,2015,11/14/15 11:21,11/14/15 11:21,Closed,Case Completed - resolved: Completed by zone personnel.,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"635 PAUL AVE, SAN FRANCISCO, CA, 94124",10,Bayview,37.72368196,-122.3991519,"(37.723681956777, -122.399151888221)",150,0
5670288,3/16/16 9:36,2016,3/16/16 11:15,3/16/16 11:15,Closed,Case Resolved - Called SFPD for Homeless Assistance CAD # 160761422,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of PAUL AVE and SAN BRUNO AVE,9,Portola,37.72392003,-122.4020608,"(37.7239200253508, -122.40206082977)",152,0
5257646,11/5/15 12:15,2015,11/5/15 17:40,11/5/15 17:40,Closed,Case Completed - resolved: done,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of PAUL AVE and SAN BRUNO AVE,9,Portola,37.72392003,-122.4020608,"(37.7239200253508, -122.40206082977)",154,0
5556934,2/10/16 19:20,2016,2/13/16 3:17,2/13/16 3:17,Closed,Case Completed - Case Resolved: 10-98,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"316 EDINBURGH ST, SAN FRANCISCO, CA, 94112",11,Excelsior,37.72412792,-122.4301578,"(37.724127919838, -122.430157756249)",156,0
5557350,2/11/16 7:08,2016,2/26/16 17:43,2/26/16 17:43,Closed,Case Transferred - Muni Security & Enforcement notified.,SFMTA - Muni System Feedback Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of MISSION ST and NORTON ST,11,Excelsior,37.72458777,-122.4348705,"(37.7245877742118, -122.434870507888)",158,0
