CaseID,Opened,YearOpened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,CategoryGroup,CategoryID,Request Type,Request Details,Address,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source
4348801,12/31/14 8:41,2014,1/1/15 9:45,1/1/15 9:45,Closed,Case Completed - resolved: 1098 completed,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,"215 GOLDEN GATE AVE, SAN FRANCISCO, CA, 94102",6,Civic Center,TENDERLOIN,37.78154,-122.4142,"(37.781695725669, -122.414185346548)",Voice In
4348725,12/31/14 8:28,2014,1/2/15 16:22,1/2/15 16:22,Closed,Case Completed - resolved:,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,Intersection of FELL ST and LAGUNA ST,5,Hayes Valley,NORTHERN,37.77552,-122.4261,"(37.7755243958891, -122.426070375351)",Voice In
4348202,12/30/14 22:35,2014,6/3/15 10:29,6/3/15 10:29,Closed,Case Completed - resolved: Maximo Service Request has been resolved,PUC Sewer Ops,Homeless Concerns,Needles,needle,Medical Waste,Needles,"108 CLINTON PARK, SAN FRANCISCO, CA, 94103",8,Mission Dolores,MISSION,37.76937,-122.4225,"(37.769374974289, -122.42252353281)",Voice In
4347834,12/30/14 18:49,2014,12/30/14 22:21,12/30/14 22:21,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,"1547 PALOU AVE, SAN FRANCISCO, CA, 94124",10,Bayview,BAYVIEW,37.73331,-122.39,"(37.733309099692, -122.390038519585)",Voice In
4347757,12/30/14 18:16,2014,12/31/14 6:20,12/31/14 6:20,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"169 11TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77351,-122.4158,"(37.773506643763, -122.415812762583)",Twitter
4347471,12/30/14 17:00,2014,12/30/14 22:24,12/30/14 22:24,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,"200 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127",7,West Portal,TARAVAL,37.73889,-122.4681,"(37.740615312834, -122.466332961781)",Voice In
4347407,12/30/14 16:47,2014,12/30/14 22:23,12/30/14 22:23,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"57 TAYLOR ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78289,-122.4111,"(37.782890119293, -122.411062432474)",Web Self Service
4347403,12/30/14 16:46,2014,1/4/15 6:46,1/4/15 6:46,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of MARKET ST and TAYLOR ST,6,Tenderloin,TENDERLOIN,37.78223,-122.4103,"(37.7822305956242, -122.41029213588)",Web Self Service
4347396,12/30/14 16:45,2014,12/30/14 22:23,12/30/14 22:23,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"418 TURK ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78263,-122.4162,"(37.782630064482, -122.41619642209)",Web Self Service
4347394,12/30/14 16:44,2014,12/30/14 22:23,12/30/14 22:23,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"604 ELLIS ST, SAN FRANCISCO, CA, 94109",6,Tenderloin,TENDERLOIN,37.78449,-122.4162,"(37.784488459581, -122.416194732348)",Web Self Service
4347392,12/30/14 16:43,2014,12/30/14 22:23,12/30/14 22:23,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"172 TURK ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78312,-122.412,"(37.783117032927, -122.411962609839)",Web Self Service
4347344,12/30/14 16:32,2014,12/31/14 7:55,12/31/14 7:55,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"141 TAYLOR ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78426,-122.4109,"(37.784265061964, -122.410924059109)",Web Self Service
4347340,12/30/14 16:31,2014,12/31/14 7:35,12/31/14 7:35,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"317 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78394,-122.4144,"(37.783936492789, -122.414418916988)",Web Self Service
4347336,12/30/14 16:30,2014,12/31/14 7:45,12/31/14 7:45,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"352 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78324,-122.4141,"(37.783241056427, -122.414073932136)",Web Self Service
4347334,12/30/14 16:30,2014,12/31/14 2:14,12/31/14 2:14,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"115 JONES ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78233,-122.4124,"(37.782330429106, -122.412412706427)",Web Self Service
4347254,12/30/14 16:12,2014,12/30/14 22:24,12/30/14 22:24,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1140 INGERSON AVE, SAN FRANCISCO, CA, 94124",10,Bret Harte,BAYVIEW,37.72065,-122.3955,"(37.720645425612, -122.395457149711)",Voice In
4346822,12/30/14 14:28,2014,12/30/14 22:25,12/30/14 22:25,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1863 LOMBARD ST, SAN FRANCISCO, CA, 94123",2,Union Street,NORTHERN,37.80017,-122.4321,"(37.800175912294, -122.432116474555)",Web Self Service
4346720,12/30/14 13:59,2014,12/31/14 9:29,12/31/14 9:29,Closed,Case Completed - resolved: Pickup completed.,Recology_Abandoned,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,"129 HYDE ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78204,-122.4157,"(37.782060635886, -122.41572502513)",Mobile/Open311
4346679,12/30/14 13:46,2014,12/30/14 22:25,12/30/14 22:25,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,Intersection of JONES ST and TURK ST,6,Tenderloin,TENDERLOIN,37.783,-122.4124,"(37.7830040965109, -122.412411848948)",Voice In
4346415,12/30/14 12:46,2014,12/31/14 3:55,12/31/14 3:55,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,Intersection of LARKIN ST and EDDY ST,6,Tenderloin,TENDERLOIN,37.78331,-122.4175,"(37.783310773957, -122.41752862123)",Web Self Service
4346276,12/30/14 12:14,2014,12/31/14 1:10,12/31/14 1:10,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,"65 NORFOLK ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77087,-122.4136,"(37.770844339346, -122.413443365528)",Mobile/Open311
4346223,12/30/14 12:04,2014,12/31/14 2:14,12/31/14 2:14,Closed,Case Completed - resolved: 1098,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,Intersection of FERN ST and LARKIN ST,3,Lower Nob Hill,CENTRAL,37.78843,-122.4186,"(37.7884323740886, -122.418559426157)",Web Self Service
4346056,12/30/14 11:29,2014,1/13/15 10:31,1/13/15 10:31,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1360 STEVENSON ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77061,-122.4218,"(37.7706164514, -122.421765763846)",Voice In
4346010,12/30/14 11:17,2014,1/1/15 2:32,1/1/15 2:32,Closed,Case Completed - resolved: 1098 completed,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,Intersection of 10TH AVE and LINCOLN WAY,5,Inner Sunset,TARAVAL,37.76588,-122.4675,"(37.7658772265215, -122.467515160472)",Voice In
4345824,12/30/14 10:34,2014,1/1/15 9:15,1/1/15 9:15,Closed,Case Completed - resolved: Completed……,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of BRANNAN ST and 8TH ST,6,Showplace Square,SOUTHERN,37.77129,-122.4054,"(37.7712964638277, -122.40542472737)",Voice In
4345726,12/30/14 10:13,2014,12/30/14 15:26,12/30/14 15:26,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,Intersection of SAN JOSE AVE and RANDALL ST,8,Holly Park,INGLESIDE,37.73987,-122.4241,"(37.7398691001582, -122.424147214782)",Voice In
4345547,12/30/14 9:34,2014,12/30/14 10:06,12/30/14 10:06,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of SYCAMORE ST and MISSION ST,9,Mission,MISSION,37.76271,-122.4194,"(37.7627128979633, -122.419443567172)",Web Self Service
4345542,12/30/14 9:33,2014,1/1/15 10:51,1/1/15 10:51,Closed,Case Completed - resolved: Completed……,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"75 OAK GROVE ST, SAN FRANCISCO, CA, 94107",6,South of Market,SOUTHERN,37.77729,-122.4017,"(37.777296715693, -122.401733264341)",Voice In
4345345,12/30/14 8:52,2014,12/31/14 2:11,12/31/14 2:11,Closed,Case Completed - resolved: 1098,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,"1314 POLK ST, SAN FRANCISCO, CA, 94109",3,Lower Nob Hill,NORTHERN,37.78906,-122.4202,"(37.789059669968, -122.420220939139)",Voice In
4345309,12/30/14 8:44,2014,1/1/15 9:12,1/1/15 9:12,Closed,Case Completed - resolved: Nothing Found,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,Intersection of LEAVENWORTH ST and GOLDEN GATE AVE,6,Tenderloin,TENDERLOIN,37.78186,-122.4139,"(37.7818633401966, -122.413865509418)",Voice In
4345294,12/30/14 8:41,2014,12/31/14 2:41,12/31/14 2:41,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"3146 22ND ST, SAN FRANCISCO, CA, 94110",9,Mission,MISSION,37.75576,-122.4175,"(37.755757168655, -122.417522062017)",Voice In
4344993,12/30/14 6:32,2014,12/31/14 2:06,12/31/14 2:06,Closed,Case Completed - resolved: 1098,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of FERN ST and POLK ST,3,Lower Nob Hill,NORTHERN,37.78822,-122.4202,"(37.788222551169, -122.420210581031)",Voice In
4344887,12/30/14 1:23,2014,1/5/15 7:48,1/5/15 7:48,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"22 NORFOLK ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77117,-122.4142,"(37.770844339346, -122.413443365528)",Mobile/Open311
4344406,12/29/14 18:08,2014,12/30/14 9:35,12/30/14 9:35,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"31 HARRIET ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77895,-122.4071,"(37.778955131222, -122.407050507226)",Voice In
4344396,12/29/14 18:05,2014,12/31/14 3:35,12/31/14 3:35,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of POST ST and LARKIN ST,6,Lower Nob Hill,CENTRAL,37.78704,-122.4183,"(37.7870380649587, -122.418271079149)",Voice In
4344322,12/29/14 17:42,2014,12/30/14 9:08,12/30/14 9:08,Closed,Case Completed - resolved: done,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,Intersection of FERN ST and VAN NESS AVE,2,Cathedral Hill,NORTHERN,37.788,-122.422,"(37.7880012977202, -122.421954886089)",Voice In
4344243,12/29/14 17:14,2014,12/30/14 9:32,12/30/14 9:32,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1539 FOLSOM ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77134,-122.4144,"(37.771283128355, -122.414442412278)",Mobile/Open311
4344051,12/29/14 16:23,2014,12/30/14 9:06,12/30/14 9:06,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,"905 MINNA ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77474,-122.4154,"(37.774740548171, -122.415404580287)",Voice In
4344045,12/29/14 16:21,2014,12/30/14 9:36,12/30/14 9:36,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"905 MINNA ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77474,-122.4154,"(37.774740548171, -122.415404580287)",Voice In
4344010,12/29/14 16:15,2014,12/30/14 21:24,12/30/14 21:24,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,"458 NOE ST, SAN FRANCISCO, CA, 94114",8,Castro,MISSION,37.76173,-122.4332,"(37.761737881114, -122.433219287949)",Voice In
4343972,12/29/14 16:08,2014,12/30/14 9:34,12/30/14 9:34,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,"1235 MISSION ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77653,-122.4133,"(37.776777461754, -122.413755445544)",Mobile/Open311
4343961,12/29/14 16:07,2014,12/30/14 9:34,12/30/14 9:34,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,"747 MINNA ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77639,-122.4132,"(37.776392125267, -122.41328217467)",Mobile/Open311
4343950,12/29/14 16:06,2014,12/31/14 1:10,12/31/14 1:10,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of FLORIDA ST and 17TH ST,9,Mission,MISSION,37.76425,-122.4113,"(37.7642514416934, -122.411330111097)",Voice In
4343925,12/29/14 16:03,2014,12/31/14 3:50,12/31/14 3:50,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of FERN ST and POLK ST,3,Lower Nob Hill,NORTHERN,37.78822,-122.4202,"(37.788222551169, -122.420210581031)",Voice In
4343730,12/29/14 15:24,2014,12/31/14 1:09,12/31/14 1:09,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of 18TH ST and OAKWOOD ST,8,Mission Dolores,MISSION,37.76148,-122.4251,"(37.7614912395117, -122.425024897696)",Mobile/Open311
4343555,12/29/14 14:49,2014,12/30/14 21:26,12/30/14 21:26,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,Intersection of WEBSTER ST and GEARY BLVD,5,Japantown,NORTHERN,37.78457,-122.4312,"(37.7845681372362, -122.431204856266)",Voice In
4343447,12/29/14 14:30,2014,12/30/14 9:26,12/30/14 9:26,Closed,Case Completed - resolved: done,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,Intersection of 17TH ST and DE HARO ST,10,Potrero Hill,SOUTHERN,37.76484,-122.4016,"(37.7648392794374, -122.401598902451)",Voice In
4342819,12/29/14 12:24,2014,1/13/15 10:31,1/13/15 10:31,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of NATOMA ST and 11TH ST,6,South of Market,SOUTHERN,37.77353,-122.4161,"(37.7735324025458, -122.416104066095)",Voice In
4342793,12/29/14 12:19,2014,12/30/14 6:43,12/30/14 6:43,Closed,Case Completed - resolved: 1098,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,"1270 PINE ST, SAN FRANCISCO, CA, 94109",3,Nob Hill,CENTRAL,37.79021,-122.4167,"(37.79021334342, -122.416728931075)",Voice In
4342643,12/29/14 11:53,2014,12/30/14 1:59,12/30/14 1:59,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"722 SHOTWELL ST, SAN FRANCISCO, CA, 94110",9,Mission,MISSION,37.75672,-122.4157,"(37.756722318117, -122.415698883072)",Voice In
4342575,12/29/14 11:42,2014,12/30/14 3:37,12/30/14 3:37,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"324 FELL ST, SAN FRANCISCO, CA, 94102",5,Hayes Valley,NORTHERN,37.77595,-122.4232,"(37.775953108091, -122.423198545743)",Voice In
4342488,12/29/14 11:27,2014,12/30/14 2:06,12/30/14 2:06,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"168 SHOTWELL ST, SAN FRANCISCO, CA, 94103",9,Mission,MISSION,37.7658,-122.4166,"(37.765801061545, -122.416611160528)",Voice In
4342473,12/29/14 11:25,2014,12/30/14 2:09,12/30/14 2:09,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,"101 DUBOCE AVE, SAN FRANCISCO, CA, 94103",8,Mission Dolores,MISSION,37.76971,-122.4226,"(37.769714745264, -122.422572779305)",Mobile/Open311
4342468,12/29/14 11:25,2014,1/13/15 9:26,1/13/15 9:26,Closed,Case Completed - resolved: done,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"85 BRADY ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77252,-122.4199,"(37.772565448265, -122.419810217968)",Mobile/Open311
4342320,12/29/14 10:59,2014,12/30/14 2:44,12/30/14 2:44,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"31 PAGE ST, SAN FRANCISCO, CA, 94102",5,Buena Vista,PARK,37.77184,-122.4398,"(37.771833947278, -122.439793370399)",Voice In
4342169,12/29/14 10:29,2014,12/30/14 2:10,12/30/14 2:10,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of CLINTON PARK and VALENCIA ST,8,Mission Dolores,MISSION,37.76928,-122.4223,"(37.7692777794306, -122.422308181264)",Voice In
4342149,12/29/14 10:26,2014,12/29/14 14:31,12/29/14 14:31,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,Intersection of CLINTON PARK and VALENCIA ST,8,Mission Dolores,MISSION,37.76928,-122.4223,"(37.7692777794306, -122.422308181264)",Voice In
4342148,12/29/14 10:25,2014,1/4/15 7:21,1/4/15 7:21,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Not associated with a specific address,,,,37.78589,-122.4121,,Voice In
