CaseID,Opened,YearOpened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL
833557,02/28/2011 09:18:05 AM,2011,02/28/2011 12:06:01 PM,02/28/2011 12:06:01 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of GEARY ST and STOCKTON ST,3,Downtown / Union Square,CENTRAL,37.78757,-122.4066,"(37.7875678758242, -122.406589862039)",Voice In,
833687,02/28/2011 10:32:47 AM,2011,03/01/2011 12:32:53 PM,03/01/2011 12:32:53 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of JULIA ST and MINNA ST,6,South of Market,SOUTHERN,37.77762,-122.4119,"(37.7776190488903, -122.411870350648)",Voice In,
834205,02/28/2011 10:10:16 PM,2011,03/01/2011 06:06:12 AM,03/01/2011 06:06:12 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"950 MARKET ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78318,-122.4095,"(37.783184590249, -122.409469699673)",Voice In,
834274,03/01/2011 07:50:17 AM,2011,03/03/2011 08:06:09 AM,03/03/2011 08:06:09 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of GOULD ST and PAUL AVE,10,Bret Harte,BAYVIEW,37.72287,-122.3977,"(37.7228742434224, -122.39766804237)",Voice In,
834612,03/01/2011 01:31:02 PM,2011,03/03/2011 06:06:50 AM,03/03/2011 06:06:50 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of LASKIE ST and MISSION ST,6,South of Market,SOUTHERN,37.77671,-122.4141,"(37.7767075929162, -122.414106760324)",Voice In,
835485,03/02/2011 03:40:45 PM,2011,03/03/2011 03:06:13 PM,03/03/2011 03:06:13 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"3067 25TH ST, SAN FRANCISCO, CA, 94110",9,Mission,MISSION,37.75093,-122.4115,"(37.750932413878, -122.411496573794)",Voice In,
836169,03/03/2011 03:22:38 PM,2011,03/03/2011 05:11:12 PM,03/03/2011 05:11:12 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of CARR ST and PAUL AVE,10,Bret Harte,BAYVIEW,37.72263,-122.3966,"(37.7226262161323, -122.396626317554)",Voice In,
837424,03/05/2011 11:40:22 AM,2011,03/23/2011 08:06:03 AM,03/23/2011 08:06:03 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of MISSION ST and WASHBURN ST,6,South of Market,SOUTHERN,37.77589,-122.4151,"(37.7758897318351, -122.415128050643)",Voice In,
837725,03/06/2011 10:13:40 AM,2011,03/11/2011 07:06:01 PM,03/11/2011 07:06:01 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"503 MINNA ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.78043,-122.4082,"(37.780432412713, -122.408193875713)",Voice In,
838618,03/07/2011 06:14:45 PM,2011,03/08/2011 03:06:13 PM,03/08/2011 03:06:13 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of DUBOCE AVE and OTIS ST,6,South of Market,MISSION,37.77011,-122.42,"(37.7701113170831, -122.420008481617)",Voice In,
839226,03/08/2011 04:02:05 PM,2011,03/09/2011 06:06:08 PM,03/09/2011 06:06:08 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of PETER YORKE WAY and POST ST,2,Cathedral Hill,NORTHERN,37.7864,-122.4232,"(37.7864023928464, -122.423213882426)",Voice In,
841111,03/11/2011 02:19:32 PM,2011,03/12/2011 06:06:30 AM,03/12/2011 06:06:30 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of FILLMORE ST and MOULTON ST,2,Union Street,NORTHERN,37.79942,-122.436,"(37.7994193633729, -122.43596065875)",Voice In,
841926,03/13/2011 02:21:08 PM,2011,03/13/2011 04:06:00 PM,03/13/2011 04:06:00 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of OAK ST and OCTAVIA ST,5,Hayes Valley,NORTHERN,37.77483,-122.4241,"(37.774824748193, -122.424136402069)",Voice In,
842791,03/14/2011 09:30:48 PM,2011,03/18/2011 06:06:03 AM,03/18/2011 06:06:03 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of FERN ST and LARKIN ST,3,Lower Nob Hill,CENTRAL,37.78843,-122.4186,"(37.7884323740886, -122.418559426157)",Voice In,
843044,03/15/2011 10:50:14 AM,2011,03/16/2011 08:06:03 AM,03/16/2011 08:06:03 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of BROADWAY and FRONT ST,3,Northern Waterfront,CENTRAL,37.79873,-122.3999,"(37.7987289757183, -122.399873294318)",Voice In,
846019,03/20/2011 02:45:30 PM,2011,03/21/2011 06:11:32 AM,03/21/2011 06:11:32 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"84 LANDERS ST, SAN FRANCISCO, CA, 94114",8,Mission Dolores,MISSION,37.76643,-122.4279,"(37.766433971181, -122.427873536329)",Voice In,
849821,03/26/2011 11:15:11 AM,2011,03/27/2011 06:06:11 AM,03/27/2011 06:06:11 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"1 STOCKTON ST, SAN FRANCISCO, CA, 94102",3,Downtown / Union Square,CENTRAL,37.7859,-122.4064,"(37.785903076238, -122.406389001976)",Voice In,
850605,03/28/2011 07:40:33 AM,2011,03/31/2011 06:06:07 AM,03/31/2011 06:06:07 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of 11TH ST and HARRISON ST,6,South of Market,SOUTHERN,37.77063,-122.4125,"(37.7706298096818, -122.412479783263)",Voice In,
850651,03/28/2011 08:48:18 AM,2011,03/30/2011 06:06:09 AM,03/30/2011 06:06:09 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of EDDY ST and JONES ST,6,Tenderloin,TENDERLOIN,37.78393,-122.4126,"(37.7839325967532, -122.41259531556)",Voice In,
851638,03/29/2011 11:11:22 AM,2011,03/29/2011 06:06:00 PM,03/29/2011 06:06:00 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"220 FLORIDA ST, SAN FRANCISCO, CA, 94103",9,Mission,MISSION,37.7668,-122.4118,"(37.766795378309, -122.411765890208)",Voice In,
852404,03/30/2011 09:47:01 AM,2011,04/02/2011 11:06:02 AM,04/02/2011 11:06:02 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of MISSION ST and WASHBURN ST,6,South of Market,SOUTHERN,37.77589,-122.4151,"(37.7758897318351, -122.415128050643)",Voice In,
852834,03/30/2011 05:34:48 PM,2011,03/30/2011 07:06:01 PM,03/30/2011 07:06:01 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"155 HARRIET ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77756,-122.4051,"(37.777555556659, -122.405097295183)",Voice In,
853751,04/01/2011 08:25:11 AM,2011,04/02/2011 08:06:06 AM,04/02/2011 08:06:06 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of GROVE ST and POLK ST,6,Civic Center,NORTHERN,37.77849,-122.4182,"(37.7784890300124, -122.418226426168)",Voice In,
854520,04/02/2011 11:20:26 AM,2011,04/02/2011 01:06:00 PM,04/02/2011 01:06:00 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"639 GEARY ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,CENTRAL,37.78654,-122.4137,"(37.786543310868, -122.413662382068)",Voice In,
857657,04/07/2011 07:01:22 AM,2011,04/10/2011 01:06:05 PM,04/10/2011 01:06:05 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of POLK ST and POST ST,-1,Lower Nob Hill,NORTHERN,37.78683,-122.4199,"(37.7868276010985, -122.419928071258)",Voice In,
857688,04/07/2011 08:01:43 AM,2011,04/08/2011 02:06:06 PM,04/08/2011 02:06:06 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"1250 FOLSOM ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77444,-122.411,"(37.774441528632, -122.410985462964)",Voice In,
857703,04/07/2011 08:26:15 AM,2011,04/08/2011 02:06:07 PM,04/08/2011 02:06:07 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"1200 FOLSOM ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77491,-122.4104,"(37.774912863917, -122.410388203661)",Voice In,
858003,04/07/2011 01:31:34 PM,2011,04/08/2011 03:06:04 PM,04/08/2011 03:06:04 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of 8TH ST and FOLSOM ST,6,South of Market,SOUTHERN,37.77499,-122.4101,"(37.774991814201, -122.410062696559)",Voice In,
860000,04/11/2011 07:42:07 AM,2011,04/12/2011 06:06:03 PM,04/12/2011 06:06:03 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of ELLIS ST and HYDE ST,6,Tenderloin,TENDERLOIN,37.78445,-122.4161,"(37.7844488799773, -122.416071804149)",Voice In,
860912,04/12/2011 10:11:30 AM,2011,04/15/2011 06:06:06 AM,04/15/2011 06:06:06 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"399 GROVE ST, SAN FRANCISCO, CA, 94102",5,Civic Center,NORTHERN,37.7776,-122.4228,"(37.777604160154, -122.42276403742)",Voice In,
861279,04/12/2011 04:10:23 PM,2011,04/12/2011 05:06:07 PM,04/12/2011 05:06:07 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"1452 BUSH ST, SAN FRANCISCO, CA, 94109",3,Lower Nob Hill,NORTHERN,37.78869,-122.4212,"(37.78868962518, -122.421239347881)",Voice In,
863021,04/15/2011 11:23:38 AM,2011,04/16/2011 06:07:17 AM,04/16/2011 06:07:17 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of OSAGE ALY and,9,Mission,MISSION,37.75273,-122.4191,"(37.7527284908182, -122.41906556709)",Voice In,
863161,04/15/2011 02:39:54 PM,2011,04/15/2011 05:06:00 PM,04/15/2011 05:06:00 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of 24TH ST and OSAGE ALY,9,Mission,MISSION,37.7522,-122.419,"(37.7522043370115, -122.419017432004)",Voice In,
865236,04/19/2011 11:02:33 AM,2011,04/19/2011 01:06:14 PM,04/19/2011 01:06:14 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of HOWARD ST and MARY ST,6,South of Market,SOUTHERN,37.78088,-122.4057,"(37.7808784178023, -122.405718672887)",Voice In,
866638,04/21/2011 08:50:55 AM,2011,04/23/2011 06:06:40 AM,04/23/2011 06:06:40 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"281 CLARA ST, SAN FRANCISCO, CA, 94107",6,South of Market,SOUTHERN,37.77805,-122.404,"(37.77805336082, -122.404020115741)",Voice In,
867485,04/22/2011 02:07:43 PM,2011,04/22/2011 05:06:01 PM,04/22/2011 05:06:01 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of CAROLINA ST and MARIPOSA ST,10,Potrero Hill,BAYVIEW,37.76362,-122.4005,"(37.7636190132614, -122.40051439992)",Voice In,
869032,04/25/2011 12:23:21 PM,2011,04/29/2011 06:06:05 AM,04/29/2011 06:06:05 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of ELLIS ST and LARKIN ST,6,Tenderloin,TENDERLOIN,37.78424,-122.4177,"(37.7842357811105, -122.417706870907)",Voice In,
869977,04/26/2011 04:27:14 PM,2011,04/27/2011 06:11:05 AM,04/27/2011 06:11:05 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of GOLDEN GATE AVE and HYDE ST,6,Civic Center,TENDERLOIN,37.78165,-122.4155,"(37.7816543173929, -122.415505129216)",Voice In,
871228,04/28/2011 10:55:32 AM,2011,04/28/2011 04:06:03 PM,04/28/2011 04:06:03 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"601 FELL ST, SAN FRANCISCO, CA, 94102",5,Hayes Valley,NORTHERN,37.77517,-122.4279,"(37.77517474312, -122.427878199692)",Voice In,
871331,04/28/2011 12:42:48 PM,2011,04/28/2011 01:06:02 PM,04/28/2011 01:06:02 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"603 FELL ST, SAN FRANCISCO, CA, 94102",5,,NORTHERN,37.7751,-122.4279,"(37.775101206, -122.427946515)",Voice In,
871413,04/28/2011 02:24:55 PM,2011,04/28/2011 04:06:04 PM,04/28/2011 04:06:04 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"605 FELL ST, SAN FRANCISCO, CA, 94102",5,Hayes Valley,NORTHERN,37.77515,-122.428,"(37.775154321771, -122.428038374637)",Voice In,
871416,04/28/2011 02:28:44 PM,2011,04/28/2011 04:06:04 PM,04/28/2011 04:06:04 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"603 FELL ST, SAN FRANCISCO, CA, 94102",5,,NORTHERN,37.7751,-122.4279,"(37.775101206, -122.427946515)",Voice In,
871508,04/28/2011 04:48:13 PM,2011,04/28/2011 06:06:06 PM,04/28/2011 06:06:06 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"57 NOE ST, SAN FRANCISCO, CA, 94114",8,Duboce Triangle,PARK,37.76824,-122.4333,"(37.768237804432, -122.433299225093)",Voice In,
871551,04/28/2011 06:06:44 PM,2011,04/29/2011 06:06:30 AM,04/29/2011 06:06:30 AM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,"601 EDDY ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78326,-122.4176,"(37.783263911596, -122.417570177747)",Voice In,
873167,05/01/2011 12:42:10 PM,2011,05/01/2011 02:06:00 PM,05/01/2011 02:06:00 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of COLLINS ST and GEARY BLVD,1,Lone Mountain,RICHMOND,37.78212,-122.4501,"(37.7821165662457, -122.450092303604)",Voice In,
873383,05/01/2011 07:32:58 PM,2011,05/03/2011 02:06:08 PM,05/03/2011 02:06:08 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of MARKET ST and TAYLOR ST,6,Tenderloin,TENDERLOIN,37.78223,-122.4103,"(37.7822305956242, -122.41029213588)",Voice In,
873387,05/01/2011 07:38:42 PM,2011,05/03/2011 02:06:08 PM,05/03/2011 02:06:08 PM,Closed,See Notes tab for more details -,DPW Ops Queue,Homeless Concerns,Medical Waste,needle,Intersection of 6TH ST and MARKET ST,6,Tenderloin,TENDERLOIN,37.78223,-122.4103,"(37.7822305956242, -122.41029213588)",Voice In,
